English,French
part,partie
history,histoire
search,chercher
only,seulement
thought,pensais
request,demande
kind,genre
month,mois
brother,frère
let,laisser
because,car
to put,mettre
no,aucun
leash,laisse
them,eux
city,ville
each,chaque
come,arrivé
should,devrait
baby,bébé
hours,heures
meet again,revoir
any,aucune
square,place
speak,parle
understood,compris
knew,savais
were,étaient
here is,voici
could,pourrais
case,affaire
give,donner
type,type
their,leurs
given,donné
train,train
eyes,yeux
way,façon
whose,dont
find,trouve
first,premier
hand,main
power,pouvoir
be,sois
here,tiens
morning,matin
so much,tellement
child,enfant
point,point
came,venu
after,suite
sorry,pardon
come,venez
in front of,devant
towards,vers
minutes,minutes
request,demandé
bedroom,chambre
placed,mis
beautiful,belle
law,droit
today,aujourd'hui
husband,mari
cause,cause
finally,enfin
hope,espère
water,eau
left,parti
job,boulot
Stop,arrêter
would say,dirait
Earth,terre
account,compte
given,donne
far,loin
believe,croire
sweetheart,chérie
large,gros
rather,plutôt
will have,aura
office,bureau
